,[2. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 0. 0. 0.],[3. 3. 2. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 0. 0. 0. 0.],[5. 3. 0. 0. 0. 0. 0.],[6. 1. 1. 0. 0. 0. 0.],[6. 2. 0. 0. 0. 0. 0.],[7. 1. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0.]
[2. 1. 1. 1. 1. 1. 1.],-0.0,-0.14285714285714285,-0.2857142857142857,-0.42857142857142855,0.7142857142857143,0.5714285714285714,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 0.],0.14285714285714285,-0.0,-0.12380952380952381,-0.2571428571428571,0.47619047619047616,0.34285714285714286,0.23809523809523808,0.638095238095238,0.6190476190476191,0.8666666666666667,0.8,0.7714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 0. 0.],0.2857142857142857,0.12380952380952381,-0.0,-0.14285714285714285,0.2857142857142857,0.2,0.11428571428571428,0.2857142857142857,0.2571428571428571,0.6571428571428571,0.6,0.6,0.6952380952380952,1.0,0.9,0.8952380952380953,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 0. 0. 0.],0.42857142857142855,0.2571428571428571,0.14285714285714285,-0.0,0.14285714285714285,0.08571428571428572,-0.0,-0.0,-0.14285714285714285,0.42857142857142855,0.4,0.42857142857142855,0.3142857142857143,0.7142857142857143,0.6857142857142857,0.7142857142857143,0.7142857142857143,0.8857142857142857,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 0.],-0.7142857142857143,-0.47619047619047616,-0.2857142857142857,-0.14285714285714285,-0.0,0.11904761904761904,0.19047619047619047,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.5952380952380952,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 0. 0.],-0.5714285714285714,-0.34285714285714286,-0.2,-0.08571428571428572,-0.11904761904761904,-0.0,0.1,0.3238095238095238,0.42857142857142855,0.3142857142857143,0.3904761904761905,0.45714285714285713,0.719047619047619,1.0,0.7714285714285715,0.8,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 0. 0. 0.],-0.42857142857142855,-0.23809523809523808,-0.11428571428571428,-0.0,-0.19047619047619047,-0.1,-0.0,-0.0,0.12380952380952381,0.08571428571428572,0.19047619047619047,0.3142857142857143,0.3142857142857143,0.7142857142857143,0.4714285714285714,0.5952380952380952,0.7857142857142857,0.8,0.9285714285714286,1.0,1.0
[3. 3. 1. 1. 0. 0. 0.],-1.0,-0.638095238095238,-0.2857142857142857,-0.0,-0.7142857142857143,-0.3238095238095238,-0.0,-0.0,0.3142857142857143,-0.3142857142857143,-0.0,0.2571428571428571,0.34285714285714286,0.7142857142857143,0.2,0.4666666666666667,0.8571428571428571,0.6952380952380952,0.8571428571428571,1.0,1.0
[3. 3. 2. 0. 0. 0. 0.],-1.0,-0.6190476190476191,-0.2571428571428571,0.14285714285714285,-0.7142857142857143,-0.42857142857142855,-0.12380952380952381,-0.3142857142857143,-0.0,-0.42857142857142855,-0.19047619047619047,0.10476190476190476,-0.10476190476190476,0.14285714285714285,-0.08571428571428572,0.20952380952380953,0.42857142857142855,0.3142857142857143,0.6666666666666666,0.7142857142857143,1.0
[4. 1. 1. 1. 1. 0. 0.],-1.0,-0.8666666666666667,-0.6571428571428571,-0.42857142857142855,-0.6190476190476191,-0.3142857142857143,-0.08571428571428572,0.3142857142857143,0.42857142857142855,-0.0,0.21904761904761905,0.37142857142857144,0.7714285714285715,1.0,0.5714285714285714,0.6761904761904762,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 0. 0. 0.],-1.0,-0.8,-0.6,-0.4,-0.5952380952380952,-0.3904761904761905,-0.19047619047619047,-0.0,0.19047619047619047,-0.21904761904761905,-0.0,0.20952380952380953,0.40476190476190477,0.8571428571428571,0.2,0.40476190476190477,0.7857142857142857,0.6952380952380952,0.8571428571428571,1.0,1.0
