,[2. 1. 1. 1. 1.],[2. 2. 1. 1. 0.],[2. 2. 2. 0. 0.],[3. 1. 1. 1. 0.],[3. 2. 1. 0. 0.],[3. 3. 0. 0. 0.],[4. 1. 1. 0. 0.],[4. 2. 0. 0. 0.],[5. 1. 0. 0. 0.],[6. 0. 0. 0. 0.]
[2. 2. 2. 1. 1.],1.0,1.0,0.7,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 0.],1.0,1.0,1.0,1.0,0.8,0.4,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1.],1.0,0.7,0.5,0.95,0.8,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 0.],1.0,0.8333333333333334,0.7,0.8,0.7166666666666667,0.7,0.9,0.85,1.0,1.0
[3. 3. 1. 1. 0.],0.6,0.5666666666666667,0.6,0.7,0.6666666666666666,0.9,0.7333333333333333,0.7,1.0,1.0
[3. 3. 2. 0. 0.],0.8,0.8,0.9,0.5,0.6333333333333333,0.6,0.4,0.6,0.7,1.0
[4. 1. 1. 1. 1.],0.2,0.2,0.2,0.8,0.6,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 0.],0.4,0.3333333333333333,0.3,0.55,0.5333333333333333,0.7,0.8333333333333334,0.8,1.0,1.0
[4. 2. 2. 0. 0.],0.6,0.5333333333333333,0.6,0.4,0.43333333333333335,0.4,0.5666666666666667,0.7,0.7,1.0
[4. 3. 1. 0. 0.],-0.2,0.2,0.4,0.2,0.45,0.7,0.3333333333333333,0.55,0.6,1.0
[4. 4. 0. 0. 0.],-1.0,-0.4,0.2,-0.4,0.2,0.7,-0.2,0.4,-0.0,0.6
[5. 1. 1. 1. 0.],-0.6,-0.3,-0.1,0.2,0.3,0.7,0.7,0.7,1.0,1.0
[5. 2. 1. 0. 0.],-0.4,-0.16666666666666666,-0.0,0.05,0.16666666666666666,0.4,0.43333333333333335,0.55,0.75,1.0
[5. 3. 0. 0. 0.],-1.0,-0.4,0.2,-0.55,-0.0,0.4,-0.1,0.35,0.2,0.6
[6. 1. 1. 0. 0.],-1.0,-0.7333333333333333,-0.4,-0.5,-0.13333333333333333,0.4,0.2,0.4,0.7,1.0
[6. 2. 0. 0. 0.],-1.0,-0.7,-0.4,-0.55,-0.3,-0.0,-0.1,0.2,0.35,0.8
[7. 1. 0. 0. 0.],-1.0,-1.0,-0.7,-1.0,-0.6,-0.0,-0.5,-0.0,0.2,0.8
[8. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-0.6,-0.6,0.2
