,[3. 3. 2.],[4. 2. 2.],[4. 3. 1.],[4. 4. 0.],[5. 2. 1.],[5. 3. 0.],[6. 1. 1.],[6. 2. 0.],[7. 1. 0.],[8. 0. 0.]
[3. 3. 3.],1.0,1.0,-0.0,-1.0,1.0,-0.0,1.0,1.0,1.0,1.0
[4. 3. 2.],0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0
[4. 4. 1.],1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[5. 2. 2.],-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0,1.0,0.3333333333333333,1.0,1.0
[5. 3. 1.],0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[5. 4. 0.],1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[6. 2. 1.],-0.6666666666666666,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
[6. 3. 0.],0.3333333333333333,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333
[7. 1. 1.],-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 2. 0.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
[8. 1. 0.],-1.0,-1.0,-0.6666666666666666,-0.0,-0.6666666666666666,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,0.6666666666666666
[9. 0. 0.],-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333
