,[7. 6. 6.],[7. 7. 5.],[8. 6. 5.],[8. 7. 4.],[8. 8. 3.],[9. 5. 5.],[9. 6. 4.],[9. 7. 3.],[9. 8. 2.],[9. 9. 1.],[10.  5.  4.],[10.  6.  3.],[10.  7.  2.],[10.  8.  1.],[10.  9.  0.],[11.  4.  4.],[11.  5.  3.],[11.  6.  2.],[11.  7.  1.],[11.  8.  0.],[12.  4.  3.],[12.  5.  2.],[12.  6.  1.],[12.  7.  0.],[13.  3.  3.],[13.  4.  2.],[13.  5.  1.],[13.  6.  0.],[14.  3.  2.],[14.  4.  1.],[14.  5.  0.],[15.  2.  2.],[15.  3.  1.],[15.  4.  0.],[16.  2.  1.],[16.  3.  0.],[17.  1.  1.],[17.  2.  0.],[18.  1.  0.],[19.  0.  0.]
[10.  5.  4.],-1.0,-0.6666666666666666,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[10.  6.  3.],-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[10.  7.  2.],0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[10.  8.  1.],1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[10.  9.  0.],1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[11.  4.  4.],-1.0,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
[11.  5.  3.],-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[11.  6.  2.],-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[11.  7.  1.],0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[11.  8.  0.],1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[12.  4.  3.],-1.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[12.  5.  2.],-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[12.  6.  1.],-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[12.  7.  0.],0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[13.  3.  3.],-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
[13.  4.  2.],-1.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[13.  5.  1.],-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[13.  6.  0.],-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[14.  3.  2.],-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0
[14.  4.  1.],-1.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[14.  5.  0.],-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[15.  2.  2.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0
[15.  3.  1.],-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[15.  4.  0.],-1.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[16.  2.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-1.0,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,0.3333333333333333,-0.0,0.6666666666666666,1.0
[16.  3.  0.],-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[17.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.0,0.3333333333333333,1.0
[17.  2.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,-1.0,-0.6666666666666666,-0.3333333333333333,0.0,-0.6666666666666666,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0.3333333333333333
[18.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.0,0.3333333333333333
[19.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,0.0
