,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[4. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.03205128205128205,-0.03996003996003996,-0.036224886224886226,-0.025363525363525364,-0.010683760683760684,0.0024864024864024864,-0.016317016317016316,-0.019173419173419172,-0.014418914418914418,-0.005283605283605284,0.004144004144004144,0.005594405594405594,-0.005710955710955711,-0.0005439005439005439,0.006216006216006216,0.009324009324009324,0.008702408702408702,0.013986013986013986,0.018648018648018648,0.027972027972027972,-0.004662004662004662,-0.00419025419025419,-0.0,0.005439005439005439,0.008158508158508158,0.0027195027195027195,0.007614607614607615,0.012237762237762238,0.016317016317016316,0.017132867132867134,0.024475524475524476,0.04487179487179487,0.008702408702408702,0.014685314685314685,0.02097902097902098,0.02937062937062937,0.038461538461538464,0.04487179487179487,0.0001554001554001554,0.002874902874902875,0.007614607614607615,0.012237762237762238,0.016317016317016316,0.010152810152810153,0.017132867132867134,0.024475524475524476,0.03426573426573427,0.04487179487179487,0.019580419580419582,0.02937062937062937,0.038461538461538464,0.05384615384615385,0.07692307692307693,0.039160839160839164,0.05384615384615385,0.09230769230769231,0.00473970473970474,0.010152810152810153,0.017132867132867134,0.024475524475524476,0.022843822843822845,0.03426573426573427,0.04487179487179487,0.06282051282051282,0.039160839160839164,0.05384615384615385,0.09230769230769231,0.07179487179487179,0.09230769230769231,0.12307692307692308,0.013053613053613054,0.022843822843822845,0.03426573426573427,0.04487179487179487,0.04568764568764569,0.06282051282051282,0.1076923076923077,0.07179487179487179,0.09230769230769231,0.12307692307692308,0.2,0.02937062937062937,0.04568764568764569,0.06282051282051282,0.08376068376068375,0.1076923076923077,0.12307692307692308,0.2,0.05874125874125874,0.08376068376068375,0.1076923076923077,0.14358974358974358,0.2,0.1076923076923077,0.14358974358974358,0.23333333333333334,0.18461538461538463,0.23333333333333334,0.3,0.4666666666666667
[4. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.2,-0.14285714285714285,-0.09756909756909757,-0.05927405927405927,-0.028971028971028972,-0.008702408702408702,-0.0,-0.08957708957708958,-0.05627705627705628,-0.028971028971028972,-0.009518259518259518,-0.0,-0.0,-0.025174825174825177,-0.008702408702408702,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.030969030969030968,-0.016483516483516484,-0.005439005439005439,-0.0,0.0,-0.004351204351204351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008857808857808859,-0.003108003108003108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6571428571428571,-0.37362637362637363,-0.19080919080919082,-0.08291708291708291,-0.026973026973026972,-0.0048951048951048955,-0.0,-0.2627372627372627,-0.12420912420912421,-0.045621045621045624,-0.009790209790209791,-0.0,-0.0,-0.0675990675990676,-0.016317016317016316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1068931068931069,-0.038295038295038296,-0.008158508158508158,-0.0,-0.0,-0.013053613053613054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03496503496503497,-0.007459207459207459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.038461538461538464,-0.052947052947052944,-0.05337995337995338,-0.04315684315684316,-0.023076923076923078,0.005594405594405594,-0.013986013986013986,-0.01938061938061938,-0.01718836718836719,-0.008547008547008548,0.004972804972804973,0.014918414918414918,-0.0051226551226551224,-0.0021756021756021756,0.004351204351204351,0.013053613053613054,0.0037296037296037296,0.011188811188811189,0.027972027972027972,0.023310023310023312,-0.0048951048951048955,-0.005960705960705961,-0.0027195027195027195,0.004351204351204351,0.013053613053613054,-0.0,0.0038073038073038073,0.011421911421911422,0.028554778554778556,0.009790209790209791,0.024475524475524476,0.04487179487179487,0.0032634032634032634,0.009790209790209791,0.024475524475524476,0.02097902097902098,0.046153846153846156,0.038461538461538464,-0.0010878010878010878,0.0,0.004351204351204351,0.013053613053613054,0.03263403263403263,0.0038073038073038073,0.011421911421911422,0.028554778554778556,0.024475524475524476,0.05384615384615385,0.009790209790209791,0.024475524475524476,0.05384615384615385,0.046153846153846156,0.07692307692307693,0.024475524475524476,0.05384615384615385,0.09230769230769231,0.0009324009324009324,0.004351204351204351,0.013053613053613054,0.03263403263403263,0.011421911421911422,0.028554778554778556,0.06282051282051282,0.05384615384615385,0.024475524475524476,0.05384615384615385,0.09230769230769231,0.05384615384615385,0.1076923076923077,0.1076923076923077,0.004351204351204351,0.013053613053613054,0.03263403263403263,0.07179487179487179,0.028554778554778556,0.06282051282051282,0.1076923076923077,0.05384615384615385,0.1076923076923077,0.1076923076923077,0.2,0.013053613053613054,0.03263403263403263,0.07179487179487179,0.06282051282051282,0.12564102564102564,0.1076923076923077,0.2,0.03263403263403263,0.07179487179487179,0.14358974358974358,0.12564102564102564,0.2,0.07179487179487179,0.14358974358974358,0.23333333333333334,0.14358974358974358,0.26666666666666666,0.26666666666666666,0.4666666666666667
[4. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.2,-0.16483516483516483,-0.12687312687312688,-0.08824508824508824,-0.05128205128205128,-0.019580419580419582,-0.0,-0.07892107892107893,-0.05716505716505717,-0.033766233766233764,-0.013053613053613054,-0.0,-0.0,-0.01938061938061938,-0.007614607614607615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.030969030969030968,-0.01938061938061938,-0.007614607614607615,-0.0,-0.0,-0.0038073038073038073,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008857808857808859,-0.0037296037296037296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6571428571428571,-0.4065934065934066,-0.24035964035964036,-0.12687312687312688,-0.052947052947052944,-0.013053613053613054,-0.0,-0.23876123876123875,-0.12687312687312688,-0.054945054945054944,-0.014685314685314685,-0.0,-0.0,-0.052947052947052944,-0.014685314685314685,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1068931068931069,-0.045621045621045624,-0.012237762237762238,-0.0,-0.0,-0.011421911421911422,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03496503496503497,-0.009324009324009324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.7362637362637363,-0.4065934065934066,-0.16683316683316685,-0.04695304695304695,-0.006993006993006993,-0.0,-0.5024975024975025,-0.23876123876123875,-0.07892107892107893,-0.013986013986013986,-0.0,-0.0,-0.11938061938061938,-0.024475524475524476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2627372627372627,-0.08957708957708958,-0.016317016317016316,-0.0,-0.0,-0.028554778554778556,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10023310023310024,-0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6571428571428571,-0.43956043956043955,-0.2915084915084915,-0.17857142857142858,-0.09090909090909091,-0.02937062937062937,-0.0,-0.21478521478521478,-0.12687312687312688,-0.06243756243756244,-0.019580419580419582,-0.0,-0.0,-0.03996003996003996,-0.012237762237762238,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1068931068931069,-0.052947052947052944,-0.017132867132867134,-0.0,-0.0,-0.009790209790209791,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03496503496503497,-0.011188811188811189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.7582417582417582,-0.47052947052947053,-0.23876123876123875,-0.08957708957708958,-0.018648018648018648,-0.0,-0.47052947052947053,-0.23976023976023977,-0.0924075924075924,-0.020396270396270396,-0.0,-0.0,-0.0924075924075924,-0.02097902097902098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2627372627372627,-0.10447885447885448,-0.024475524475524476,-0.0,-0.0,-0.024475524475524476,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10023310023310024,-0.023310023310023312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7582417582417582,-0.4065934065934066,-0.14285714285714285,-0.02564102564102564,-0.0,-0.7582417582417582,-0.4065934065934066,-0.14285714285714285,-0.02564102564102564,-0.0,-0.0,-0.14285714285714285,-0.02564102564102564,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5054945054945055,-0.2087912087912088,-0.04487179487179487,-0.0,-0.0,-0.04487179487179487,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23076923076923078,-0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 4. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.2,-0.18681318681318682,-0.15884115884115885,-0.12354312354312354,-0.08298368298368299,-0.039160839160839164,-0.0,-0.07892107892107893,-0.06471306471306472,-0.043356643356643354,-0.019580419580419582,-0.0,-0.0,-0.01938061938061938,-0.008702408702408702,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026973026973026972,-0.01938061938061938,-0.008702408702408702,-0.0,-0.0,-0.0032634032634032634,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.008857808857808859,-0.004351204351204351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012432012432012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 4. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6571428571428571,-0.43956043956043955,-0.2915084915084915,-0.17857142857142858,-0.09090909090909091,-0.02937062937062937,-0.0,-0.23876123876123875,-0.14285714285714285,-0.07192807192807193,-0.023496503496503496,-0.0,-0.0,-0.052947052947052944,-0.017132867132867134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09490509490509491,-0.046453546453546456,-0.014685314685314685,-0.0,-0.0,-0.009790209790209791,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.03496503496503497,-0.011188811188811189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 4. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.7582417582417582,-0.47052947052947053,-0.23876123876123875,-0.08957708957708958,-0.018648018648018648,-0.0,-0.5024975024975025,-0.2647352647352647,-0.10589410589410589,-0.024475524475524476,-0.0,-0.0,-0.11938061938061938,-0.02937062937062937,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23876123876123875,-0.0924075924075924,-0.02097902097902098,-0.0,-0.0,-0.024475524475524476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.10023310023310024,-0.023310023310023312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 4. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.7802197802197802,-0.5324675324675324,-0.3166833166833167,-0.14918414918414918,-0.04195804195804196,-0.0,-0.47052947052947053,-0.2647352647352647,-0.11938061938061938,-0.03263403263403263,-0.0,-0.0,-0.0924075924075924,-0.024475524475524476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23876123876123875,-0.10589410589410589,-0.02937062937062937,-0.0,-0.0,-0.02097902097902098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.10023310023310024,-0.027972027972027972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018648018648018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
